Sr.,,Particulars,Qty,Rate,Total,Date,
1,,Housing 70,364,9,3276,03-Jan-12,
2,,Upper Cover Unique,533,36,19188,,
3,,Back Cover 70,689,30,20670,,
4,,Housing Quinque,30,35,1050,,
5,,Rubber Ring Small,200,5,1000,,
6,,Rubber Ring,500,5,2500,,
7,,,,,47684,,
8,,Upper Cover 70,664,36,23904,07-Jan-12,
9,,Back Cover 70 Hole,729,30,21870,,
10,,,,,45774,,
11,,dial Blank Quinque,500,12,6000,14-Jan-12,
12,,Dial Blank 125 Set,1000,8,8000,,
13,,Upper Cover United,1290,36,46440,,
14,,,,,60440,,
15,,Dial Blank 125 Set,1000,8,8000,18-Jan-12,
16,,Dial Blank Sohrab JS,200,12,2400,,
17,,Upper Cover 70 New,680,36,24480,,
18,,Back Cover 70 Hole,748,30,22440,,
19,,,,,57320,,
20,,Housing Quinque,100,35,3500,20-Jan-12,
21,,Dial Blank quinque,500,12,6000,,
22,,Upper Cover 1-10,120,48,5760,,
23,,Upper Cover Unique,510,36,18360,,
24,,Upper Cover 70 New,240,36,8640,,
25,,Back Cover 70,617,30,18510,,
26,,Nest Red,300,20,6000,,
27,,,,,66770,,
28,,dial Blank Quinque,275,12,3300,25-Jan-12,
29,,Upper Cover Unique,744,36,26784,,
30,,Back cover 70,416,30,12480,,
31,,Back Cover 70 Gare Counter,102,30,3060,,
32,,,,,45624,,
33,,Upper Cover United,921,36,33156,27-Jan-12,
34,,Back Cover 70,603,30,18090,,
35,,,,,51246,,
36,,Upper Cover 70 Unique,510,36,18360,02-Feb-12,
37,,back Cover 70,814,30,24420,,
38,,,,,42780,,
39,,Dial Blank Quinque,500,12,6000,04-Feb-12,
40,,Upper Cover 70,527,36,18972,,
41,,Back Cover 70 Hole,562,30,16860,,
42,,,,,41832,,
43,,Dial Blank 125 Set,500,16,8000,07-Feb-12,
44,,Dial Blank Rikshaw,500,8,4000,,
45,,Upper Cover 1-10,300,48,14400,,
46,,Back Cover 1-10,300,20,6000,,
47,,Housing 1-10,185,35,6475,,
48,,Nest Sohrab JS,300,20,6000,,
49,,Housing sohrab JS,100,35,3500,,
50,,,,,48375,,
51,,Upper Cover 70,495,36,17820,13-Feb-12,
