Sr.,Particulars,Qty,Rate,Total,,,
968,Back  Cover  70,543,30,16290,,,
969,Housing  70 Black,555,10,5550,,,
970,Housing Sohrab,200,33,6600,,,
971,Dial Blank Sohrab JS,1000,12,12000,,,
972,,,,71868,,,
973,Upper Cover Window,816,36,29376,,,
974,Housing Sohrab,511,33,16863,,,
975,,,,46239,,,
976,,,,0,,,
977,,,,0,,,
978,,,,0,,,
979,,,,0,,,
980,,,,0,,,
981,,,,0,,,
982,,,,0,,,
983,,,,0,,,
984,,,,0,,,
985,,,,0,,,
986,,,,0,,,
987,,,,0,,,
988,,,,0,,,
989,,,,0,,,
990,,,,0,,,
991,,,,0,,,
992,,,,0,,,
993,,,,0,,,
994,,,,0,,,
995,,,,0,,,
996,,,,0,,,
997,,,,0,,,
998,,,,0,,,
999,,,,0,,,
1000,,,,0,,,
1001,,,,0,,,
1002,,,,0,,,
1003,,,,0,,,
1004,,,,0,,,
1005,,,,0,,,
1006,,,,0,,,
1007,,,,0,,,
1008,,,,0,,,
1009,,,,0,,,
1010,,,,0,,,
